source_file,row_num,issue_type,description,severity,action_taken
source1_naukri_applicants.csv,2,CTC_FORMAT_VARIATION,Raw CTC value '417964' converted to 4.18 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,3,CTC_FORMAT_VARIATION,Raw CTC value '332456' converted to 3.32 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,4,CTC_FORMAT_VARIATION,Raw CTC value '775670' converted to 7.76 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,5,CTC_FORMAT_VARIATION,Raw CTC value '654699' converted to 6.55 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,6,CTC_FORMAT_VARIATION,Raw CTC value '4.2' converted to 4.2 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,7,CTC_FORMAT_VARIATION,Raw CTC value '806661' converted to 8.07 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,8,CTC_FORMAT_VARIATION,Raw CTC value '8.3' converted to 8.3 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,9,CTC_FORMAT_VARIATION,Raw CTC value '472935' converted to 4.73 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,10,CTC_FORMAT_VARIATION,Raw CTC value '366311' converted to 3.66 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,11,CTC_FORMAT_VARIATION,Raw CTC value '871686' converted to 8.72 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,12,CTC_FORMAT_VARIATION,Raw CTC value '864237' converted to 8.64 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,13,CTC_FORMAT_VARIATION,Raw CTC value '1195422' converted to 11.95 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,14,CTC_FORMAT_VARIATION,Raw CTC value '5.1' converted to 5.1 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,15,CTC_FORMAT_VARIATION,Raw CTC value '826748' converted to 8.27 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,16,CTC_FORMAT_VARIATION,Raw CTC value '6.1' converted to 6.1 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,17,CTC_FORMAT_VARIATION,Raw CTC value '5.8' converted to 5.8 LPA,MEDIUM,NORMALIZED_TO_LPA
source1_naukri_applicants.csv,18,CTC_FORMAT_VARIATION,Raw CTC value '11.2' converted to 11.2 LPA,MEDIUM,NORMALIZED_TO_LPA
